                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9041,                 4.1188,                 3.9916,                0.00314,                0.10482,                0.00555,                0.00205,                 4.2809,                 4.4415,                 4.1893,             0.00033122,             0.00033122,             0.00033122
                      2,                 3.4903,                 3.8842,                 3.6402,                0.00885,                0.08874,                 0.0083,                0.00269,                 3.8208,                 14.993,                 4.6589,             0.00066324,             0.00066324,             0.00066324
                      3,                  3.295,                 3.7191,                 3.3983,                0.00438,                0.48063,                0.01462,                0.00463,                 3.5894,                 3.7022,                 3.5613,             0.00099394,             0.00099394,             0.00099394
                      4,                 3.1393,                 3.5219,                 3.2336,                0.23061,                0.04942,                0.02722,                0.00829,                 3.5482,                 3.9696,                 3.7665,             0.00099406,             0.00099406,             0.00099406
                      5,                 3.0811,                 3.4037,                 3.1282,                0.00383,                0.51089,                 0.0107,                0.00335,                 3.1881,                 3.5169,                 3.2225,             0.00099208,             0.00099208,             0.00099208
                      6,                 3.0085,                 3.2715,                 3.0389,                0.22482,                0.06097,                0.03666,                0.01111,                  3.128,                 3.5792,                  3.152,              0.0009901,              0.0009901,              0.0009901
                      7,                 2.9608,                 3.2462,                 3.0016,                0.00602,                0.59893,                 0.0403,                0.01469,                 3.1504,                 3.2369,                 3.1523,             0.00098812,             0.00098812,             0.00098812
                      8,                 2.8603,                 3.1961,                 2.9121,                0.25424,                0.13807,                0.04504,                0.01294,                 3.1408,                 3.2401,                 3.1177,             0.00098614,             0.00098614,             0.00098614
                      9,                 2.8372,                  3.118,                 2.8985,                0.24041,                0.06193,                0.04736,                0.01464,                 3.0199,                 3.1205,                 3.1743,             0.00098416,             0.00098416,             0.00098416
                     10,                 2.8237,                 3.0594,                 2.8861,                0.38578,                0.11107,                0.05591,                0.01732,                 2.8786,                 2.9309,                 2.9774,             0.00098218,             0.00098218,             0.00098218
                     11,                 2.8231,                 3.1054,                 2.8504,                0.55098,                0.11392,                0.05189,                0.01909,                  3.023,                 3.2119,                 3.1275,              0.0009802,              0.0009802,              0.0009802
                     12,                 2.7749,                 3.1082,                 2.8151,                0.00705,                0.63058,                0.05543,                0.01852,                 3.0627,                 3.1469,                 3.0845,             0.00097822,             0.00097822,             0.00097822
                     13,                 2.6691,                 3.0644,                 2.7468,                0.12282,                0.12736,                0.08648,                0.02984,                 3.0935,                 3.2219,                 3.1422,             0.00097624,             0.00097624,             0.00097624
                     14,                 2.7225,                 3.0902,                 2.7603,                0.56649,                0.08821,                0.08058,                0.02885,                 2.9662,                 3.0258,                 3.0208,             0.00097426,             0.00097426,             0.00097426
                     15,                 2.6361,                 3.0115,                 2.6923,                0.37075,                0.12737,                0.07477,                0.02547,                 2.8281,                 2.9945,                 2.9823,             0.00097228,             0.00097228,             0.00097228
                     16,                 2.5932,                 2.9355,                 2.6626,                0.26224,                0.12681,                0.09976,                0.03684,                 2.8597,                 2.9301,                 2.9302,              0.0009703,              0.0009703,              0.0009703
                     17,                 2.5224,                 2.9184,                 2.6456,                0.34293,                0.11484,                0.06517,                0.01903,                 2.8235,                 2.9551,                 2.9466,             0.00096832,             0.00096832,             0.00096832
                     18,                 2.5852,                 2.9755,                 2.6652,                0.22481,                 0.1015,                0.08137,                0.03236,                 2.8043,                 2.8763,                 2.9103,             0.00096634,             0.00096634,             0.00096634
