                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4187,                 4.4409,                 4.0481,                0.00246,                0.10374,                0.01897,                0.00692,                 3.7811,                  4.846,                 4.1852,             0.00033122,             0.00033122,             0.00033122
                      2,                 3.1225,                 4.1542,                 3.7386,                0.00216,                0.19453,                0.00242,                0.00092,                 3.8118,                    inf,                 8.1865,             0.00066349,             0.00066349,             0.00066349
                      3,                 2.9763,                 3.9758,                 3.4842,                0.18236,                0.06767,                0.01729,                0.00574,                 3.0798,                 4.0331,                 3.6034,              0.0009947,              0.0009947,              0.0009947
                      4,                 2.8897,                 3.8086,                 3.3497,                0.04489,                0.06269,                0.02152,                0.00782,                 3.0342,                 4.1358,                 3.5847,              0.0009952,              0.0009952,              0.0009952
                      5,                 2.8731,                 3.8255,                 3.3051,                 0.5295,                0.04282,                0.01707,                0.00684,                 2.9853,                 4.4595,                 3.4559,              0.0009936,              0.0009936,              0.0009936
                      6,                 2.7973,                 3.6296,                  3.222,                0.56701,                0.08469,                0.05935,                 0.0184,                 3.0096,                  3.478,                 3.4974,               0.000992,               0.000992,               0.000992
                      7,                 2.7102,                 3.5817,                 3.1307,                0.52482,                0.02694,                0.03885,                0.01266,                 2.8709,                 3.4226,                  3.219,              0.0009904,              0.0009904,              0.0009904
                      8,                 2.6399,                 3.4822,                 3.0572,                0.23604,                0.14283,                0.04684,                0.01317,                 3.0009,                 3.5314,                 3.3808,              0.0009888,              0.0009888,              0.0009888
                      9,                 2.6224,                 3.5127,                 3.0498,                0.25784,                0.13131,                0.05931,                0.01834,                 2.9343,                 3.4516,                 3.2395,              0.0009872,              0.0009872,              0.0009872
                     10,                 2.5861,                  3.444,                 3.0023,                0.19236,                0.06865,                0.03971,                0.01091,                 2.9798,                 3.6968,                 3.3572,              0.0009856,              0.0009856,              0.0009856
                     11,                 2.5653,                 3.4776,                 2.9821,                0.42078,                0.11086,                 0.0726,                0.02351,                   2.77,                 3.3719,                 3.1391,               0.000984,               0.000984,               0.000984
                     12,                 2.4731,                 3.3771,                 2.9192,                0.02769,                0.55836,                0.05151,                0.01666,                 2.6707,                  3.212,                 3.0641,              0.0009824,              0.0009824,              0.0009824
                     13,                 2.4789,                 3.3431,                 2.9051,                0.42528,                0.08062,                0.07502,                0.02423,                 2.7657,                  3.302,                 3.1466,              0.0009808,              0.0009808,              0.0009808
                     14,                 2.4662,                 3.3054,                 2.8847,                0.29227,                0.08163,                0.08458,                0.02591,                 2.6477,                 3.1231,                  3.068,              0.0009792,              0.0009792,              0.0009792
                     15,                 2.4065,                 3.2303,                 2.8571,                0.24613,                0.12975,                0.07246,                0.02407,                  2.659,                 3.2477,                 3.0663,              0.0009776,              0.0009776,              0.0009776
                     16,                 2.3953,                 3.2339,                 2.8367,                0.34775,                0.10374,                0.10777,                0.04245,                 2.5364,                 3.0895,                 2.9972,               0.000976,               0.000976,               0.000976
                     17,                 2.3718,                 3.2145,                 2.8313,                0.26721,                0.13037,                0.10073,                0.03904,                 2.5588,                 3.1657,                 3.0121,              0.0009744,              0.0009744,              0.0009744
                     18,                 2.2765,                 3.1905,                 2.7744,                0.32215,                0.19946,                0.11381,                0.03483,                 2.4905,                 3.1019,                 2.9367,              0.0009728,              0.0009728,              0.0009728
                     19,                  2.247,                 3.1657,                 2.7511,                0.23237,                 0.1325,                0.13021,                0.04889,                 2.4687,                 3.1172,                 2.9122,              0.0009712,              0.0009712,              0.0009712
                     20,                 2.2516,                  3.138,                 2.7447,                0.12675,                0.12475,                0.08171,                0.02433,                 2.5727,                 3.0308,                 3.0301,              0.0009696,              0.0009696,              0.0009696
                     21,                 2.2222,                  3.103,                 2.7471,                0.29897,                0.10186,                0.07635,                 0.0261,                  2.443,                 3.1339,                 2.8881,               0.000968,               0.000968,               0.000968
                     22,                 2.2144,                 3.0758,                 2.6977,                0.41135,                 0.0952,                0.15126,                0.05413,                 2.3963,                 3.0001,                 2.8487,              0.0009664,              0.0009664,              0.0009664
                     23,                 2.1761,                 3.0579,                 2.6755,                 0.2593,                0.17775,                0.10187,                0.03084,                 2.4005,                  3.183,                  2.874,              0.0009648,              0.0009648,              0.0009648
                     24,                 2.2042,                 2.9951,                 2.6791,                0.35546,                0.21754,                0.16315,                0.05836,                 2.4888,                 2.8993,                 2.9037,              0.0009632,              0.0009632,              0.0009632
                     25,                 2.2042,                 2.9998,                 2.6835,                0.27156,                 0.2043,                  0.168,                0.05588,                  2.404,                 2.9169,                 2.8847,              0.0009616,              0.0009616,              0.0009616
                     26,                 2.1451,                  2.988,                 2.6402,                0.25409,                0.20225,                0.16631,                0.06495,                 2.3777,                 2.8654,                 2.8642,                0.00096,                0.00096,                0.00096
                     27,                 2.1048,                  2.903,                 2.5962,                 0.2196,                0.22617,                0.15633,                0.05227,                 2.3573,                  2.786,                 2.8509,              0.0009584,              0.0009584,              0.0009584
                     28,                 2.0976,                  2.864,                 2.6064,                0.22056,                0.20001,                0.16027,                0.06033,                 2.3602,                 2.7674,                 2.8316,              0.0009568,              0.0009568,              0.0009568
                     29,                 2.0322,                 2.8627,                 2.5732,                0.36938,                 0.2316,                0.18109,                0.06525,                 2.3316,                 2.7286,                 2.8309,              0.0009552,              0.0009552,              0.0009552
                     30,                 2.0629,                 2.8524,                 2.5834,                0.23959,                0.20386,                0.18808,                0.07043,                 2.3091,                 2.8071,                 2.8051,              0.0009536,              0.0009536,              0.0009536
                     31,                 2.0587,                 2.8029,                 2.5832,                0.24693,                0.25297,                0.17154,                 0.0581,                 2.3645,                 2.8583,                 2.9336,               0.000952,               0.000952,               0.000952
                     32,                 2.0773,                 2.8052,                 2.5949,                0.19443,                0.22253,                0.15552,                0.05896,                 2.3834,                 2.8589,                 2.8987,              0.0009504,              0.0009504,              0.0009504
                     33,                 2.0716,                 2.7734,                 2.5852,                0.32601,                0.25123,                0.21729,                0.07235,                 2.3419,                 2.7106,                 2.8407,              0.0009488,              0.0009488,              0.0009488
                     34,                 2.0065,                 2.7263,                 2.5512,                0.18773,                0.21411,                0.16856,                0.05947,                 2.3103,                 2.7509,                 2.8689,              0.0009472,              0.0009472,              0.0009472
                     35,                 2.0281,                 2.7191,                 2.5492,                0.36057,                0.21614,                0.22368,                0.07991,                 2.2434,                 2.7581,                 2.7903,              0.0009456,              0.0009456,              0.0009456
                     36,                   1.98,                 2.6604,                 2.5128,                0.31719,                0.25602,                 0.2364,                0.09089,                 2.2969,                 2.7649,                 2.8815,               0.000944,               0.000944,               0.000944
                     37,                 1.9917,                 2.6602,                 2.5169,                0.26136,                0.24351,                 0.1768,                0.06736,                 2.2163,                 2.7446,                 2.7293,              0.0009424,              0.0009424,              0.0009424
                     38,                  1.954,                 2.6523,                 2.5055,                0.29269,                0.30555,                0.23722,                0.09655,                 2.2174,                 2.9903,                 2.7651,              0.0009408,              0.0009408,              0.0009408
                     39,                 1.9055,                 2.5779,                 2.4658,                0.37046,                0.22877,                0.25462,                0.10114,                 2.1919,                 2.7015,                 2.7609,              0.0009392,              0.0009392,              0.0009392
                     40,                  1.964,                  2.564,                 2.5055,                0.29018,                0.21053,                0.22621,                 0.0914,                 2.3072,                 2.7461,                 2.8449,              0.0009376,              0.0009376,              0.0009376
                     41,                 1.9635,                 2.6132,                 2.4959,                0.32825,                0.23283,                0.19254,                0.07038,                 2.2643,                 2.9008,                 2.7839,               0.000936,               0.000936,               0.000936
                     42,                 1.9692,                 2.6276,                 2.5059,                 0.3854,                0.18598,                0.28704,                0.11484,                 2.1856,                 2.7144,                 2.7374,              0.0009344,              0.0009344,              0.0009344
                     43,                 1.9195,                 2.5341,                 2.4686,                0.25589,                0.19218,                0.23314,                0.08384,                 2.2942,                 2.7717,                 2.8079,              0.0009328,              0.0009328,              0.0009328
                     44,                 1.9725,                  2.581,                 2.5029,                0.39383,                0.19134,                0.24219,                0.09517,                  2.233,                  2.883,                 2.7528,              0.0009312,              0.0009312,              0.0009312
                     45,                  1.943,                 2.5732,                 2.4681,                0.39691,                0.18239,                0.22916,                0.08136,                 2.2666,                 2.9225,                 2.7779,              0.0009296,              0.0009296,              0.0009296
                     46,                  1.894,                 2.5248,                  2.434,                0.36356,                 0.2117,                 0.2623,                0.10383,                 2.2147,                 2.8102,                 2.8659,               0.000928,               0.000928,               0.000928
                     47,                 1.9015,                 2.4458,                 2.4536,                0.32298,                0.29378,                0.26821,                0.09835,                 2.1728,                  2.686,                 2.7348,              0.0009264,              0.0009264,              0.0009264
                     48,                 1.8846,                 2.3913,                 2.4319,                0.37808,                0.25226,                0.28668,                0.11379,                 2.1868,                 2.6363,                 2.7363,              0.0009248,              0.0009248,              0.0009248
                     49,                 1.8509,                 2.3148,                  2.399,                0.39052,                0.23739,                 0.2945,                0.11513,                 2.1948,                 2.7301,                 2.7997,              0.0009232,              0.0009232,              0.0009232
                     50,                  1.862,                 2.3604,                 2.4116,                0.29369,                 0.3209,                0.24202,                0.09389,                 2.2885,                 2.9091,                 2.9214,              0.0009216,              0.0009216,              0.0009216
                     51,                 1.8325,                  2.377,                 2.3973,                0.35717,                0.20867,                0.23645,                0.09388,                 2.1895,                 2.8397,                 2.7095,                0.00092,                0.00092,                0.00092
                     52,                 1.8343,                 2.3645,                 2.3858,                0.41216,                0.25512,                0.26353,                0.10102,                 2.1945,                 2.8509,                 2.8008,              0.0009184,              0.0009184,              0.0009184
                     53,                 1.8129,                 2.3674,                 2.3763,                0.31603,                0.23718,                0.24197,                0.09504,                 2.1734,                 2.9044,                 2.7405,              0.0009168,              0.0009168,              0.0009168
                     54,                 1.7998,                 2.3304,                 2.3707,                 0.3502,                0.25853,                0.24437,                0.09946,                 2.2255,                 2.9564,                  2.774,              0.0009152,              0.0009152,              0.0009152
