                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1512,                 4.2475,                 4.0679,                0.00356,                0.10374,                0.00364,                0.00159,                 4.2113,                 4.3834,                 4.1808,             0.00033122,             0.00033122,             0.00033122
                      2,                  3.726,                 3.9898,                  3.736,                0.18174,                0.03559,                0.00774,                0.00282,                 3.9045,                 25.572,                 4.2587,             0.00066324,             0.00066324,             0.00066324
                      3,                 3.5932,                 3.8681,                 3.5799,                0.17514,                0.02585,                 0.0054,                0.00159,                 3.6971,                 4.2166,                 3.6198,             0.00099394,             0.00099394,             0.00099394
                      4,                 3.5455,                 3.7153,                 3.4411,                0.00319,                  0.403,                0.00462,                 0.0013,                 3.6826,                 4.0184,                 3.6145,             0.00099406,             0.00099406,             0.00099406
                      5,                 3.4587,                 3.6403,                 3.3428,                0.00382,                0.48646,                0.00698,                0.00194,                 3.5319,                 3.8008,                 3.4758,             0.00099208,             0.00099208,             0.00099208
                      6,                 3.3752,                  3.611,                 3.2691,                0.00434,                0.51585,                0.01032,                0.00273,                 3.6819,                 3.7603,                 3.4959,              0.0009901,              0.0009901,              0.0009901
                      7,                 3.3514,                 3.6076,                 3.2767,                0.00446,                0.51765,                0.01151,                0.00336,                  3.512,                 3.8437,                 3.3865,             0.00098812,             0.00098812,             0.00098812
                      8,                 3.3649,                 3.5523,                 3.2087,                0.00396,                0.51313,                0.01214,                0.00331,                 3.5257,                 3.8563,                 3.3121,             0.00098614,             0.00098614,             0.00098614
                      9,                 3.2727,                 3.4342,                 3.1327,                0.00498,                0.55575,                0.02426,                0.00721,                 3.4074,                 3.6896,                 3.2706,             0.00098416,             0.00098416,             0.00098416
                     10,                 3.2559,                 3.4443,                 3.1206,                0.00461,                0.55125,                0.01855,                0.00489,                 3.3717,                 3.7397,                 3.2474,             0.00098218,             0.00098218,             0.00098218
                     11,                 3.2164,                 3.3909,                 3.0885,                 0.0062,                0.48773,                0.02152,                0.00629,                 3.4331,                 3.7733,                 3.3041,              0.0009802,              0.0009802,              0.0009802
                     12,                 3.1865,                 3.3595,                  3.061,                0.00558,                0.59243,                0.04352,                0.01295,                 3.3132,                 3.5308,                 3.2001,             0.00097822,             0.00097822,             0.00097822
                     13,                 3.1638,                 3.3754,                 3.0563,                0.00412,                0.49584,                0.01568,                0.00369,                 3.2559,                 3.8181,                 3.1956,             0.00097624,             0.00097624,             0.00097624
                     14,                 3.1437,                 3.3272,                 3.0312,                0.00688,                0.60266,                 0.0412,                0.01387,                 3.2858,                 3.5711,                 3.1599,             0.00097426,             0.00097426,             0.00097426
                     15,                 3.1276,                 3.2683,                 3.0176,                0.00559,                0.60026,                0.03065,                0.00864,                 3.2926,                 3.5427,                   3.22,             0.00097228,             0.00097228,             0.00097228
                     16,                 3.0561,                 3.2594,                 2.9893,                0.00545,                0.61195,                0.02909,                0.01105,                 3.1762,                 3.5418,                 3.1151,              0.0009703,              0.0009703,              0.0009703
                     17,                 3.0005,                 3.2227,                 2.9482,                0.51953,                0.06623,                0.02237,                0.00657,                 3.2426,                 3.8031,                 3.2238,             0.00096832,             0.00096832,             0.00096832
                     18,                 2.9881,                 3.1998,                 2.9478,                0.21993,                0.15034,                0.03823,                0.01169,                 3.1782,                 3.5568,                 3.1689,             0.00096634,             0.00096634,             0.00096634
                     19,                 2.9278,                 3.1695,                 2.8939,                0.20025,                0.12603,                0.05602,                0.01709,                 3.1335,                 3.3739,                 3.1191,             0.00096436,             0.00096436,             0.00096436
                     20,                 2.8752,                 3.1023,                 2.8506,                0.68888,                0.07364,                0.05615,                0.01683,                 3.2114,                 3.4132,                 3.2317,             0.00096238,             0.00096238,             0.00096238
                     21,                 2.8717,                 3.0464,                 2.8535,                0.74754,                0.09815,                0.05255,                0.01713,                 3.0753,                 3.2863,                 3.0986,              0.0009604,              0.0009604,              0.0009604
                     22,                  2.837,                 3.0177,                 2.8235,                0.00592,                0.67095,                 0.0404,                0.01074,                  3.038,                 3.3844,                 3.0604,             0.00095842,             0.00095842,             0.00095842
                     23,                 2.7876,                 2.9902,                 2.7965,                0.71656,                0.11092,                0.06182,                0.01998,                 2.9931,                 3.3042,                 3.1075,             0.00095644,             0.00095644,             0.00095644
                     24,                 2.7572,                  2.977,                 2.7839,                 0.8673,                 0.0814,                0.05385,                0.01635,                 3.0605,                 3.3746,                 3.1511,             0.00095446,             0.00095446,             0.00095446
                     25,                  2.732,                 2.8975,                 2.7507,                0.72128,                0.08835,                0.07878,                0.02725,                 3.0156,                   3.32,                 3.0754,             0.00095248,             0.00095248,             0.00095248
                     26,                 2.7427,                 2.9634,                  2.781,                0.84435,                0.06977,                0.03736,                0.01008,                 3.0366,                  3.452,                 3.1231,              0.0009505,              0.0009505,              0.0009505
                     27,                 2.7174,                 2.8963,                 2.7598,                 0.0061,                0.67323,                0.05245,                0.01596,                 3.0204,                 3.3485,                 3.0237,             0.00094852,             0.00094852,             0.00094852
                     28,                 2.6884,                 2.9105,                 2.7306,                0.68235,                0.09496,                0.06394,                0.02075,                 2.8791,                 3.2361,                 2.9763,             0.00094654,             0.00094654,             0.00094654
                     29,                 2.6652,                 2.9273,                 2.7016,                0.58761,                 0.0828,                0.04544,                 0.0138,                 2.9326,                 3.3691,                 2.9871,             0.00094456,             0.00094456,             0.00094456
                     30,                 2.6605,                 2.9054,                 2.7107,                0.86517,                0.08527,                0.08071,                0.02573,                  2.963,                 3.2328,                 3.0201,             0.00094258,             0.00094258,             0.00094258
                     31,                 2.6684,                 2.9602,                 2.7101,                0.00651,                0.65631,                0.04466,                0.01485,                 2.9444,                 3.3802,                 2.9793,              0.0009406,              0.0009406,              0.0009406
                     32,                 2.6436,                 2.9238,                 2.7041,                0.55155,                0.10444,                0.05946,                0.01961,                 3.0661,                 3.4649,                 3.1762,             0.00093862,             0.00093862,             0.00093862
                     33,                 2.6298,                 2.8921,                 2.6944,                0.84741,                0.03682,                0.05113,                0.01767,                 2.9845,                 3.4061,                 2.9721,             0.00093664,             0.00093664,             0.00093664
                     34,                 2.5825,                 2.8954,                 2.6667,                0.22992,                0.17776,                0.06431,                0.01841,                 2.8772,                 3.3383,                 2.9413,             0.00093466,             0.00093466,             0.00093466
                     35,                 2.5512,                 2.8141,                 2.6296,                0.86241,                 0.0969,                0.06564,                0.02462,                 2.9303,                 3.3734,                 3.0103,             0.00093268,             0.00093268,             0.00093268
                     36,                 2.4872,                 2.7587,                 2.5948,                0.87179,                0.05426,                0.06574,                0.01969,                  2.949,                 3.2986,                 3.0127,              0.0009307,              0.0009307,              0.0009307
                     37,                 2.5179,                 2.7474,                 2.6115,                0.80865,                0.09991,                0.09079,                0.03317,                 2.8298,                 3.2311,                 2.9348,             0.00092872,             0.00092872,             0.00092872
                     38,                 2.4777,                 2.7042,                 2.5608,                0.79513,                0.07121,                0.07353,                0.02534,                 2.7583,                 3.1399,                 2.8704,             0.00092674,             0.00092674,             0.00092674
                     39,                 2.3781,                 2.5924,                 2.5074,                0.00898,                 0.6812,                0.06336,                0.02102,                 2.8066,                 3.2859,                 2.9157,             0.00092476,             0.00092476,             0.00092476
                     40,                 2.3933,                 2.6634,                 2.5227,                0.56908,                0.10939,                0.08639,                0.02748,                 2.7079,                 3.1392,                 2.8327,             0.00092278,             0.00092278,             0.00092278
                     41,                 2.4003,                 2.6497,                 2.5259,                 0.6387,                0.09282,                0.08666,                 0.0302,                 2.8517,                 3.2187,                 2.9307,              0.0009208,              0.0009208,              0.0009208
                     42,                 2.4494,                 2.6973,                 2.5513,                0.01131,                0.69961,                0.05394,                0.01719,                 2.7788,                 3.2853,                 2.8601,             0.00091882,             0.00091882,             0.00091882
                     43,                 2.4661,                 2.7161,                 2.5707,                0.08565,                0.44328,                0.08482,                0.02858,                 2.8054,                 3.1498,                  2.873,             0.00091684,             0.00091684,             0.00091684
