                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0664,                 3.5697,                 1.8232,                0.80111,                0.12823,                0.15095,                0.07198,                 2.3884,                 3.3858,                 2.0777,             0.00033122,             0.00033122,             0.00033122
                      2,                 2.0995,                 3.3941,                 1.8672,                0.41534,                0.12968,                0.08468,                0.03175,                 2.5457,                 3.3052,                 2.2373,             0.00066324,             0.00066324,             0.00066324
                      3,                 2.1591,                 3.1782,                 1.9027,                0.29074,                0.26197,                0.11968,                0.04164,                 2.6779,                 4.2182,                 2.5115,             0.00099394,             0.00099394,             0.00099394
                      4,                 2.1777,                 3.0646,                  1.942,                 0.1739,                 0.2025,                0.12507,                0.05139,                 2.4981,                 2.8192,                 2.2581,             0.00099406,             0.00099406,             0.00099406
                      5,                 2.0781,                 2.9275,                 1.9034,                 0.1865,                0.32362,                0.16149,                0.06285,                 2.4306,                 2.7921,                  2.302,             0.00099208,             0.00099208,             0.00099208
                      6,                 1.9383,                 2.8085,                 1.8294,                0.35112,                0.27283,                0.20158,                0.08141,                 2.2039,                 2.4864,                 2.0181,              0.0009901,              0.0009901,              0.0009901
                      7,                 1.9356,                 2.7485,                 1.8247,                0.24045,                0.32911,                0.19893,                0.07402,                 2.3449,                    2.7,                  2.121,             0.00098812,             0.00098812,             0.00098812
                      8,                 1.8699,                 2.6605,                 1.7964,                 0.2796,                0.36935,                0.25155,                0.10271,                 2.1323,                  2.436,                 1.9425,             0.00098614,             0.00098614,             0.00098614
                      9,                 1.8036,                 2.4845,                 1.7376,                0.23048,                0.35493,                0.24541,                0.09981,                 2.1131,                 2.5104,                 1.9729,             0.00098416,             0.00098416,             0.00098416
                     10,                 1.7703,                 2.4385,                 1.7214,                0.27049,                0.29269,                 0.2741,                0.11606,                 2.1142,                 2.3831,                 1.9948,             0.00098218,             0.00098218,             0.00098218
                     11,                 1.7289,                 2.3895,                 1.6852,                0.21699,                0.38436,                 0.1989,                0.08582,                 2.2452,                 2.6786,                 2.0482,              0.0009802,              0.0009802,              0.0009802
                     12,                 1.7263,                 2.3312,                 1.6828,                0.25086,                0.36403,                0.22535,                0.09576,                 2.1607,                 2.8948,                 1.9499,             0.00097822,             0.00097822,             0.00097822
                     13,                 1.7113,                 2.2467,                 1.6764,                0.35252,                 0.3759,                0.31723,                0.12786,                 2.0702,                 2.3516,                 1.9081,             0.00097624,             0.00097624,             0.00097624
                     14,                 1.6722,                 2.1903,                  1.649,                 0.2619,                0.33895,                0.24055,                 0.1028,                 2.1094,                 2.4295,                 1.9198,             0.00097426,             0.00097426,             0.00097426
                     15,                 1.6493,                 2.1651,                 1.6441,                0.45015,                0.35715,                0.35883,                0.14941,                 2.0434,                 2.3056,                 1.8596,             0.00097228,             0.00097228,             0.00097228
                     16,                 1.6064,                 2.0682,                 1.6168,                0.28933,                0.35215,                0.27474,                0.11433,                 2.1315,                 2.5552,                 1.9958,              0.0009703,              0.0009703,              0.0009703
                     17,                  1.646,                  2.106,                 1.6384,                0.25494,                0.32825,                0.25875,                0.11774,                 2.1529,                 2.3811,                 1.9722,             0.00096832,             0.00096832,             0.00096832
                     18,                 1.6738,                 2.0373,                  1.662,                0.30426,                0.38883,                0.27409,                0.12126,                 2.0976,                 2.3558,                 1.9643,             0.00096634,             0.00096634,             0.00096634
                     19,                 1.6582,                   2.02,                 1.6638,                 0.3416,                0.42185,                0.29791,                0.12741,                  2.072,                 2.3087,                 1.9383,             0.00096436,             0.00096436,             0.00096436
                     20,                 1.6711,                 2.0362,                 1.6721,                0.27887,                 0.4074,                0.30685,                0.11936,                 2.0774,                 2.3196,                 1.9507,             0.00096238,             0.00096238,             0.00096238
                     21,                  1.602,                 1.9144,                  1.604,                0.33349,                0.38227,                0.25122,                0.10034,                 2.2119,                 2.4396,                 2.0758,              0.0009604,              0.0009604,              0.0009604
                     22,                 1.5429,                 1.8856,                 1.5675,                 0.2867,                0.38127,                0.28311,                0.12543,                 2.0648,                 2.3315,                 1.9647,             0.00095842,             0.00095842,             0.00095842
                     23,                 1.5261,                 1.8422,                 1.5634,                0.39089,                 0.3933,                0.32959,                0.13881,                 2.0811,                 2.3671,                 1.9313,             0.00095644,             0.00095644,             0.00095644
                     24,                 1.5236,                 1.7712,                 1.5607,                0.31177,                0.38422,                0.27462,                0.11252,                 2.2118,                 2.3471,                 1.9928,             0.00095446,             0.00095446,             0.00095446
                     25,                 1.5264,                 1.7664,                 1.5495,                0.34789,                0.45706,                 0.3166,                0.12796,                 2.1532,                 2.2379,                 1.9136,             0.00095248,             0.00095248,             0.00095248
                     26,                 1.5034,                 1.6788,                 1.5396,                0.33125,                0.40536,                0.32154,                0.13471,                 2.1554,                  2.203,                 1.9387,              0.0009505,              0.0009505,              0.0009505
                     27,                 1.4576,                 1.6483,                 1.5142,                0.34978,                0.37254,                0.32439,                0.13949,                 2.0349,                 2.2037,                 1.8807,             0.00094852,             0.00094852,             0.00094852
                     28,                  1.473,                 1.6431,                 1.5193,                0.29264,                0.32767,                 0.2764,                0.11361,                 2.3382,                 2.4646,                 2.1405,             0.00094654,             0.00094654,             0.00094654
                     29,                 1.4633,                 1.5674,                 1.5077,                0.30231,                0.35055,                0.27685,                0.12093,                 2.1555,                 2.3526,                 1.9146,             0.00094456,             0.00094456,             0.00094456
                     30,                 1.4789,                  1.601,                 1.5039,                0.32873,                0.38504,                0.30777,                 0.1293,                 2.0847,                 2.3309,                 1.9244,             0.00094258,             0.00094258,             0.00094258
                     31,                  1.412,                 1.5443,                 1.4733,                0.32598,                0.35371,                0.30005,                0.13413,                 2.1727,                 2.3669,                 1.9788,              0.0009406,              0.0009406,              0.0009406
                     32,                 1.4089,                 1.4845,                 1.4794,                0.30528,                0.29314,                0.23515,                0.09586,                 2.2392,                 2.5886,                 2.0671,             0.00093862,             0.00093862,             0.00093862
                     33,                 1.4204,                 1.4319,                 1.4707,                0.29473,                0.33549,                0.27215,                 0.1151,                 2.1998,                 2.4703,                 1.9775,             0.00093664,             0.00093664,             0.00093664
                     34,                  1.402,                 1.4197,                  1.472,                0.27141,                0.28096,                0.25404,                0.10469,                 2.2148,                 2.5402,                 2.0475,             0.00093466,             0.00093466,             0.00093466
                     35,                 1.4105,                 1.4282,                 1.4745,                0.51253,                0.37438,                0.33879,                0.14812,                 2.0373,                 2.2559,                 1.8921,             0.00093268,             0.00093268,             0.00093268
