                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0901,                 3.1671,                 1.8603,                0.58652,                0.11456,                0.09689,                0.04589,                 2.4488,                 4.6169,                 2.1908,             0.00033122,             0.00033122,             0.00033122
                      2,                 2.0662,                  3.327,                 1.8411,                0.77666,                0.07528,                0.06828,                0.02527,                 2.7511,                 4.4351,                 2.5594,             0.00066324,             0.00066324,             0.00066324
                      3,                 2.1793,                 3.4213,                 1.9417,                0.44743,                0.05339,                0.04769,                0.01821,                 3.4927,                 5.7951,                 3.5181,             0.00099394,             0.00099394,             0.00099394
                      4,                 2.0734,                 3.2292,                 1.9492,                0.39151,                0.10091,                0.04304,                 0.0169,                 2.8468,                 3.5246,                 2.8072,             0.00099406,             0.00099406,             0.00099406
                      5,                 2.1251,                 3.0295,                 1.9428,                0.03171,                0.20689,                0.03227,                0.01235,                 2.5056,                 6.1334,                 2.4846,             0.00099208,             0.00099208,             0.00099208
                      6,                 1.9315,                 2.9496,                 1.8566,                0.33561,                0.15973,                0.16133,                0.06741,                 2.2896,                 2.8085,                 2.2055,              0.0009901,              0.0009901,              0.0009901
                      7,                 1.9559,                 2.9417,                 1.8286,                0.49607,                0.24763,                0.10454,                0.03893,                 2.3736,                 2.9742,                 2.4687,             0.00098812,             0.00098812,             0.00098812
                      8,                 1.9081,                 2.7058,                 1.8021,                0.30374,                0.13529,                 0.1137,                0.04942,                 2.3898,                 3.1073,                 2.4032,             0.00098614,             0.00098614,             0.00098614
                      9,                  1.841,                 2.6639,                 1.7511,                0.53672,                0.16392,                0.16717,                0.07163,                 2.3842,                 2.6711,                 2.2247,             0.00098416,             0.00098416,             0.00098416
                     10,                  1.819,                 2.6047,                  1.764,                0.49259,                 0.1513,                0.16695,                0.07006,                 2.3161,                 2.7189,                 2.2021,             0.00098218,             0.00098218,             0.00098218
                     11,                 1.7557,                 2.5583,                 1.7009,                0.20742,                0.31464,                 0.1879,                0.08206,                 2.2548,                 3.0988,                 2.2091,              0.0009802,              0.0009802,              0.0009802
                     12,                 1.7243,                 2.4497,                 1.6974,                0.38386,                0.30166,                0.22016,                0.09262,                 2.1787,                 2.5526,                 2.1499,             0.00097822,             0.00097822,             0.00097822
                     13,                 1.6765,                 2.3596,                 1.6712,                0.20569,                0.28723,                0.20551,                0.09219,                 2.3053,                 2.6717,                  2.194,             0.00097624,             0.00097624,             0.00097624
                     14,                 1.6944,                 2.3248,                 1.6578,                0.20587,                0.28431,                0.22933,                0.09627,                  2.272,                 2.6497,                 2.1672,             0.00097426,             0.00097426,             0.00097426
                     15,                 1.6309,                 2.2964,                 1.6382,                0.30236,                0.23948,                0.24068,                0.10468,                 2.4488,                 2.9099,                  2.255,             0.00097228,             0.00097228,             0.00097228
                     16,                  1.617,                 2.1737,                 1.6238,                0.27809,                0.38956,                0.31102,                0.13621,                 2.0691,                 2.2628,                 2.0199,              0.0009703,              0.0009703,              0.0009703
                     17,                  1.595,                  2.071,                 1.6143,                0.28492,                0.36763,                0.31924,                0.13807,                 1.9945,                 2.2797,                 1.9337,             0.00096832,             0.00096832,             0.00096832
                     18,                 1.6026,                 2.0802,                 1.6156,                0.27757,                0.47598,                0.37074,                0.15728,                 2.0272,                 2.2991,                 2.0154,             0.00096634,             0.00096634,             0.00096634
                     19,                 1.5618,                 2.0411,                 1.5994,                0.31436,                0.40479,                0.29525,                0.12304,                 2.0698,                 2.3451,                 2.0316,             0.00096436,             0.00096436,             0.00096436
                     20,                 1.5653,                 1.9668,                 1.5889,                0.41604,                 0.4613,                0.38117,                0.15914,                  1.999,                 2.1782,                 1.8979,             0.00096238,             0.00096238,             0.00096238
                     21,                  1.541,                 1.8886,                 1.5712,                0.30482,                0.34542,                 0.3012,                0.12466,                 2.1183,                 2.4394,                 2.0919,              0.0009604,              0.0009604,              0.0009604
                     22,                 1.5774,                 1.8985,                 1.5976,                0.32049,                0.44723,                0.35318,                0.15646,                 2.0054,                 2.2136,                 1.9216,             0.00095842,             0.00095842,             0.00095842
                     23,                 1.5493,                 1.8549,                 1.5707,                0.30019,                0.36532,                0.32718,                0.13652,                 2.1539,                 2.3142,                 2.1044,             0.00095644,             0.00095644,             0.00095644
                     24,                 1.5438,                 1.7619,                  1.597,                0.40033,                0.46035,                0.37627,                0.15692,                 2.1251,                 2.2423,                 2.0959,             0.00095446,             0.00095446,             0.00095446
                     25,                 1.5583,                 1.6935,                 1.5724,                0.27526,                0.33291,                0.27726,                0.11713,                 2.1773,                  2.388,                 2.0853,             0.00095248,             0.00095248,             0.00095248
                     26,                  1.532,                 1.7215,                 1.5794,                0.35875,                0.36131,                 0.3143,                0.13228,                 2.0438,                 2.4407,                 1.9864,              0.0009505,              0.0009505,              0.0009505
                     27,                 1.5018,                 1.7126,                 1.5626,                0.44259,                 0.3326,                0.29231,                0.11588,                 2.1941,                 2.4202,                 2.1086,             0.00094852,             0.00094852,             0.00094852
                     28,                 1.5112,                  1.639,                 1.5623,                0.34372,                0.31915,                0.30699,                 0.1356,                 2.1437,                 2.4263,                 2.0348,             0.00094654,             0.00094654,             0.00094654
                     29,                 1.4777,                  1.549,                 1.5236,                0.48819,                0.40184,                0.37306,                0.16404,                 2.0348,                 2.1509,                 1.9659,             0.00094456,             0.00094456,             0.00094456
                     30,                 1.5027,                 1.5662,                 1.5553,                0.50761,                0.31782,                0.28552,                0.12796,                 2.1439,                 2.3342,                 2.1077,             0.00094258,             0.00094258,             0.00094258
                     31,                 1.4795,                 1.5784,                 1.5316,                0.35895,                0.30665,                0.28206,                0.12002,                 2.0909,                 2.4783,                 2.0887,              0.0009406,              0.0009406,              0.0009406
                     32,                 1.4666,                 1.4874,                 1.5277,                0.32624,                 0.3183,                0.29179,                0.12615,                 2.1178,                 2.4888,                 2.0935,             0.00093862,             0.00093862,             0.00093862
                     33,                 1.4617,                 1.4886,                  1.508,                0.45843,                0.41693,                0.39268,                0.16587,                 2.1147,                 2.2947,                 2.0835,             0.00093664,             0.00093664,             0.00093664
