                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.3051,                 2.5911,                 2.4592,                0.35395,                0.16579,                0.12427,                 0.0413,                 2.7525,                 2.7182,                 3.0222,              0.0009456,              0.0009456,              0.0009456
                     36,                 2.3118,                 2.6173,                 2.4583,                0.39329,                0.15724,                0.13048,                0.04198,                 2.8786,                 2.7743,                 3.2136,               0.000944,               0.000944,               0.000944
                     37,                 2.2475,                 2.5217,                 2.4094,                0.34799,                0.14186,                0.13914,                0.04563,                 2.8579,                 2.7953,                 3.1157,              0.0009424,              0.0009424,              0.0009424
                     38,                 2.2383,                 2.5233,                  2.412,                0.35657,                 0.1111,                0.12767,                0.03638,                 2.8252,                 2.6425,                 3.1247,              0.0009408,              0.0009408,              0.0009408
                     39,                 2.2014,                 2.4933,                 2.3722,                0.42604,                0.15288,                0.15798,                0.05126,                 2.6534,                 2.7324,                 2.8698,              0.0009392,              0.0009392,              0.0009392
                     40,                 2.2098,                 2.4682,                 2.3688,                0.76018,                0.09728,                0.16401,                0.04798,                 2.7462,                 2.8429,                 3.0928,              0.0009376,              0.0009376,              0.0009376
                     41,                 2.1676,                 2.4992,                 2.3555,                0.53632,                0.14788,                0.16542,                0.05659,                 2.6601,                 2.7563,                 2.9542,               0.000936,               0.000936,               0.000936
                     42,                 2.1982,                 2.4699,                 2.3683,                 0.4181,                 0.1931,                0.15696,                0.04748,                 2.8012,                 2.8871,                 3.2085,              0.0009344,              0.0009344,              0.0009344
                     43,                 2.2105,                 2.4916,                 2.3889,                0.40328,                0.14701,                0.17306,                0.05592,                  2.646,                 2.6316,                 2.8844,              0.0009328,              0.0009328,              0.0009328
                     44,                 2.1984,                 2.4525,                 2.3696,                0.35591,                0.17118,                0.13989,                0.04443,                 2.8232,                  2.886,                 3.0282,              0.0009312,              0.0009312,              0.0009312
                     45,                 2.1895,                  2.424,                 2.3482,                0.43412,                0.12402,                0.15951,                0.05645,                 2.8367,                 2.8134,                 3.0753,              0.0009296,              0.0009296,              0.0009296
                     46,                 2.1351,                 2.3704,                 2.3245,                0.40715,                0.05302,                0.11756,                0.03799,                 2.7801,                 2.7562,                  3.128,               0.000928,               0.000928,               0.000928
                     47,                   2.12,                 2.3249,                 2.3128,                0.47656,                0.14459,                0.20015,                0.06888,                 2.7152,                  2.717,                 2.9273,              0.0009264,              0.0009264,              0.0009264
                     48,                 2.1067,                 2.2736,                 2.2942,                0.58661,                0.05156,                0.19065,                0.06161,                 2.6508,                 2.8215,                 2.9386,              0.0009248,              0.0009248,              0.0009248
                     49,                  2.058,                 2.2419,                 2.2609,                 0.6228,                0.06031,                0.16891,                0.05274,                 2.6978,                 2.8487,                 2.9494,              0.0009232,              0.0009232,              0.0009232
                     50,                 2.1016,                 2.2506,                 2.2932,                0.53926,                0.05885,                0.15056,                0.04928,                  2.718,                 2.9145,                 3.0034,              0.0009216,              0.0009216,              0.0009216
                     51,                 2.1231,                 2.2189,                 2.3208,                0.62186,                0.09248,                0.12984,                0.04564,                 2.4735,                 2.8891,                 2.7722,                0.00092,                0.00092,                0.00092
                     52,                 2.0754,                 2.2126,                 2.2845,                0.53165,                0.04775,                0.16789,                0.05326,                 2.5848,                 2.8018,                 2.8583,              0.0009184,              0.0009184,              0.0009184
