                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4984,                 4.7356,                 4.0776,                0.00238,                0.10374,                0.01591,                  0.006,                 3.7248,                 4.8243,                 4.1301,             0.00033122,             0.00033122,             0.00033122
                      2,                 3.1479,                 4.5411,                 3.7459,                0.67217,                0.03896,                0.00414,                 0.0016,                  3.371,                 51.348,                 5.0968,             0.00066324,             0.00066324,             0.00066324
                      3,                 3.0254,                 4.3512,                 3.5311,                0.84653,                0.01629,                0.01838,                0.00669,                 3.1862,                 5.2843,                  3.741,             0.00099394,             0.00099394,             0.00099394
                      4,                 2.8552,                 4.1656,                 3.3911,                0.69089,                 0.1865,                0.02458,                0.00746,                 3.1915,                 8.4948,                 3.6904,             0.00099406,             0.00099406,             0.00099406
                      5,                 2.7921,                 3.9457,                  3.257,                0.41098,                0.16585,                0.05872,                0.01993,                 2.9905,                 6.2144,                 3.5819,             0.00099208,             0.00099208,             0.00099208
                      6,                 2.7882,                 3.8074,                 3.1894,                 0.4304,                0.11052,                0.03966,                0.01007,                 3.0479,                 4.8297,                 3.6271,              0.0009901,              0.0009901,              0.0009901
                      7,                   2.79,                 3.7043,                 3.1955,                0.01248,                0.46638,                0.02464,                0.00647,                 3.1004,                 3.9752,                 3.4429,             0.00098812,             0.00098812,             0.00098812
                      8,                 2.7153,                 3.7082,                 3.1479,                0.54175,                0.10555,                0.03533,                0.00891,                 2.8342,                 3.5529,                 3.1903,             0.00098614,             0.00098614,             0.00098614
                      9,                 2.6722,                 3.6481,                 3.0747,                0.38962,                0.07655,                0.04345,                0.01337,                 2.9504,                 3.7533,                 3.2442,             0.00098416,             0.00098416,             0.00098416
                     10,                 2.5936,                 3.4946,                 3.0091,                0.69461,                0.02645,                0.08041,                0.02365,                 2.8713,                 3.4009,                 3.1549,             0.00098218,             0.00098218,             0.00098218
                     11,                 2.5389,                 3.4904,                 2.9623,                0.46341,                0.13194,                0.09014,                0.02554,                 2.8457,                 3.3879,                 3.2355,              0.0009802,              0.0009802,              0.0009802
                     12,                 2.5514,                 3.4623,                 2.9657,                0.54167,                0.16531,                0.06733,                0.02218,                 2.6878,                 3.3948,                 3.0703,             0.00097822,             0.00097822,             0.00097822
                     13,                 2.4968,                 3.4626,                 2.9205,                0.59164,                0.10451,                0.07523,                0.02357,                 2.6855,                 3.4262,                 3.0755,             0.00097624,             0.00097624,             0.00097624
                     14,                 2.4276,                  3.388,                 2.8575,                0.37902,                0.16669,                0.05591,                0.01643,                 2.8065,                 3.4918,                 3.1195,             0.00097426,             0.00097426,             0.00097426
                     15,                 2.3658,                 3.3396,                 2.8276,                0.58173,                0.14481,                0.10432,                0.03306,                 2.6481,                 3.2926,                 3.0614,             0.00097228,             0.00097228,             0.00097228
                     16,                 2.3376,                 3.3599,                   2.81,                0.42441,                0.15302,                0.08761,                0.02945,                 2.5753,                 3.3602,                 3.0283,              0.0009703,              0.0009703,              0.0009703
                     17,                 2.3277,                  3.359,                 2.7839,                0.62249,                0.13631,                 0.1205,                0.04163,                 2.5341,                 3.1886,                  3.024,             0.00096832,             0.00096832,             0.00096832
                     18,                 2.2739,                 3.2844,                 2.7739,                0.63808,                0.12035,                0.12812,                0.04545,                 2.4256,                 3.1932,                 2.8977,             0.00096634,             0.00096634,             0.00096634
                     19,                 2.2909,                 3.2684,                 2.7596,                0.59861,                0.11988,                0.10537,                0.03602,                 2.6705,                 3.4898,                 3.1403,             0.00096436,             0.00096436,             0.00096436
                     20,                 2.2207,                 3.2794,                 2.7284,                0.61305,                0.10618,                0.12864,                0.04087,                 2.4843,                 3.2107,                 2.9686,             0.00096238,             0.00096238,             0.00096238
                     21,                  2.261,                 3.2331,                 2.7516,                0.34293,                0.14964,                 0.1099,                0.03146,                 2.5348,                 3.2031,                 3.0694,              0.0009604,              0.0009604,              0.0009604
                     22,                 2.3214,                  3.267,                 2.8178,                0.45181,                0.14278,                0.12375,                0.03485,                 2.6425,                 3.3561,                 3.1467,             0.00095842,             0.00095842,             0.00095842
                     23,                 2.2937,                  3.255,                 2.7742,                0.36642,                0.17515,                0.11322,                0.03674,                 2.4765,                 3.2626,                 2.9306,             0.00095644,             0.00095644,             0.00095644
                     24,                 2.2016,                 3.1685,                 2.6903,                0.18339,                0.23539,                0.09993,                0.03221,                 2.4643,                 3.4156,                 2.9316,             0.00095446,             0.00095446,             0.00095446
                     25,                 2.1566,                 3.1496,                 2.6595,                0.21762,                0.16768,                0.15758,                0.05769,                 2.3672,                 3.0149,                  2.841,             0.00095248,             0.00095248,             0.00095248
                     26,                 2.1286,                 3.0769,                 2.6329,                0.28423,                0.20268,                0.14395,                0.05417,                 2.3916,                 2.9967,                 2.8914,              0.0009505,              0.0009505,              0.0009505
                     27,                 2.1438,                 3.0768,                 2.6368,                0.34759,                 0.1958,                0.14156,                0.05257,                 2.3404,                 3.0555,                 2.8245,             0.00094852,             0.00094852,             0.00094852
                     28,                 2.1217,                 3.0284,                 2.6131,                0.17168,                0.21614,                0.13073,                0.04785,                 2.4156,                 3.0258,                 2.9023,             0.00094654,             0.00094654,             0.00094654
                     29,                 2.1193,                 3.0144,                 2.6272,                0.32311,                0.17738,                0.16298,                0.05106,                 2.4043,                  2.991,                 2.9299,             0.00094456,             0.00094456,             0.00094456
                     30,                 2.1767,                 2.9668,                 2.6617,                0.12963,                0.25628,                 0.1004,                 0.0323,                 2.4025,                 3.0467,                 2.9156,             0.00094258,             0.00094258,             0.00094258
                     31,                 2.1536,                 3.0082,                 2.6635,                0.20208,                0.17899,                0.14671,                0.05104,                 2.3641,                 3.0196,                 2.8735,              0.0009406,              0.0009406,              0.0009406
                     32,                 2.1254,                 3.0189,                 2.6188,                0.28789,                0.18533,                0.15722,                0.06001,                 2.3283,                 2.8382,                 2.8248,             0.00093862,             0.00093862,             0.00093862
                     33,                  2.065,                 2.9884,                 2.5702,                0.36913,                0.20711,                0.18993,                0.06616,                 2.3717,                 2.8149,                 2.8438,             0.00093664,             0.00093664,             0.00093664
