                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6559,                 4.7823,                 4.1098,                0.00247,                0.10374,                0.01489,                 0.0054,                 3.7281,                  4.854,                 4.1254,             0.00033122,             0.00033122,             0.00033122
                      2,                 3.3504,                 4.5399,                 3.8371,                0.00206,                0.04981,                0.00112,                0.00021,                 3.5877,                    inf,                 4.7041,             0.00066324,             0.00066324,             0.00066324
                      3,                 3.2084,                 4.2675,                 3.6055,                0.00386,                0.38058,                0.00738,                 0.0023,                 3.4309,                 4.8188,                 3.6091,             0.00099394,             0.00099394,             0.00099394
                      4,                 3.1401,                 4.0428,                 3.4613,                0.00744,                0.35339,                0.00886,                0.00271,                 3.4871,                 4.5173,                 3.8227,             0.00099406,             0.00099406,             0.00099406
                      5,                 3.1223,                 4.0509,                 3.4228,                 0.0079,                0.34837,                0.02528,                 0.0082,                 3.3674,                 24.373,                 3.6494,             0.00099208,             0.00099208,             0.00099208
                      6,                 3.0335,                 3.8612,                 3.3027,                0.51322,                 0.1275,                0.04788,                0.01615,                 3.2818,                 4.8157,                  3.502,              0.0009901,              0.0009901,              0.0009901
                      7,                 3.0332,                 3.8172,                 3.2831,                   0.01,                0.47015,                0.03585,                0.00837,                 3.3209,                 3.9126,                 3.4539,             0.00098812,             0.00098812,             0.00098812
                      8,                 2.9144,                 3.7225,                 3.2162,                0.84303,                0.12209,                0.04114,                 0.0135,                 3.1113,                 3.7056,                 3.2993,             0.00098614,             0.00098614,             0.00098614
                      9,                 2.8698,                 3.7112,                 3.1509,                 0.6773,                0.08333,                 0.0247,                0.00842,                 3.0225,                 3.7451,                 3.2814,             0.00098416,             0.00098416,             0.00098416
                     10,                 2.7661,                 3.6265,                 3.0744,                0.44437,                0.12733,                0.04899,                0.01336,                 3.0589,                 3.8859,                 3.2799,             0.00098218,             0.00098218,             0.00098218
                     11,                 2.7527,                 3.5646,                 3.0589,                0.04325,                0.12264,                0.02793,                0.00984,                 3.0103,                 3.8336,                 3.2649,              0.0009802,              0.0009802,              0.0009802
                     12,                 2.7034,                 3.5092,                 3.0282,                0.52349,                0.09496,                0.05419,                 0.0169,                 2.9945,                 3.7002,                 3.2528,             0.00097822,             0.00097822,             0.00097822
                     13,                  2.661,                 3.4697,                 2.9896,                 0.0071,                0.68217,                0.05494,                0.01793,                 2.9415,                 3.4963,                 3.2149,             0.00097624,             0.00097624,             0.00097624
                     14,                 2.6419,                 3.4779,                 2.9814,                0.26665,                 0.1069,                0.05277,                0.01707,                 2.8818,                 3.8739,                 3.1548,             0.00097426,             0.00097426,             0.00097426
                     15,                 2.6448,                 3.4485,                 2.9806,                0.24698,                0.11464,                 0.0501,                0.01544,                 2.8737,                  3.505,                 3.1731,             0.00097228,             0.00097228,             0.00097228
                     16,                  2.576,                 3.4056,                 2.9471,                0.21601,                0.03971,                0.05284,                0.01505,                 2.8903,                 3.4202,                 3.2043,              0.0009703,              0.0009703,              0.0009703
                     17,                 2.5506,                 3.3741,                 2.8988,                0.69344,                0.09302,                0.06517,                0.02189,                 2.8726,                 3.5096,                  3.189,             0.00096832,             0.00096832,             0.00096832
                     18,                 2.4856,                 3.3348,                 2.8695,                0.24165,                0.14013,                0.05686,                0.01848,                 2.7953,                 3.4517,                 3.1388,             0.00096634,             0.00096634,             0.00096634
                     19,                 2.4802,                 3.2909,                  2.855,                0.27438,                 0.1283,                0.07514,                0.02529,                 2.7648,                 3.3288,                 3.1246,             0.00096436,             0.00096436,             0.00096436
                     20,                 2.4498,                 3.2418,                 2.8386,                0.27093,                0.13608,                0.07353,                0.02155,                 2.7606,                 3.3685,                 3.1415,             0.00096238,             0.00096238,             0.00096238
                     21,                 2.4283,                 3.2256,                 2.8269,                0.59842,                0.11381,                0.10371,                0.03196,                  2.705,                 3.2711,                 3.0498,              0.0009604,              0.0009604,              0.0009604
                     22,                  2.422,                 3.1911,                  2.809,                0.24761,                0.16004,                0.07691,                0.02485,                 2.6954,                 3.3179,                 3.0957,             0.00095842,             0.00095842,             0.00095842
                     23,                  2.399,                 3.1871,                 2.8084,                0.30946,                0.12988,                 0.0831,                0.02718,                 2.7254,                 3.2417,                 3.0765,             0.00095644,             0.00095644,             0.00095644
                     24,                 2.3941,                 3.1416,                 2.8012,                0.27863,                0.18254,                0.09062,                0.02905,                 2.6825,                 3.2903,                 3.0343,             0.00095446,             0.00095446,             0.00095446
                     25,                 2.3683,                  3.141,                 2.7772,                0.28171,                0.14571,                0.09173,                0.02659,                 2.7988,                 3.3944,                 3.1313,             0.00095248,             0.00095248,             0.00095248
                     26,                 2.3633,                 3.1532,                 2.7733,                0.31095,                0.17494,                0.09772,                0.03132,                 2.6761,                 3.2422,                 3.0534,              0.0009505,              0.0009505,              0.0009505
                     27,                 2.3501,                  3.117,                  2.765,                0.32321,                0.12926,                0.09181,                0.02839,                 2.6973,                 3.4135,                 3.0642,             0.00094852,             0.00094852,             0.00094852
                     28,                 2.3848,                 3.1316,                 2.7747,                0.29464,                0.17573,                0.11045,                0.03262,                 2.6594,                 3.1928,                 3.0081,             0.00094654,             0.00094654,             0.00094654
                     29,                 2.3018,                 3.0746,                 2.7261,                0.33055,                0.16106,                0.11478,                 0.0383,                  2.602,                 3.2058,                 2.9773,             0.00094456,             0.00094456,             0.00094456
                     30,                 2.2751,                 3.0439,                 2.6901,                0.34556,                0.17263,                0.13042,                 0.0441,                 2.5676,                 3.1898,                 2.9314,             0.00094258,             0.00094258,             0.00094258
                     31,                 2.2801,                 3.0473,                 2.7098,                0.30957,                0.16403,                0.08637,                0.02594,                 2.6951,                 3.3339,                 3.0329,              0.0009406,              0.0009406,              0.0009406
                     32,                 2.2545,                 3.0118,                 2.6789,                0.35621,                0.18276,                 0.1232,                0.04308,                 2.6062,                 3.1843,                 2.9685,             0.00093862,             0.00093862,             0.00093862
                     33,                 2.2308,                 2.9722,                 2.6643,                0.27276,                0.15697,                0.10573,                0.03354,                 2.6731,                 3.3578,                 3.0478,             0.00093664,             0.00093664,             0.00093664
                     34,                 2.2382,                  3.009,                 2.6687,                0.34434,                0.15229,                0.13644,                0.04578,                 2.5448,                 3.1946,                 2.9054,             0.00093466,             0.00093466,             0.00093466
                     35,                 2.2394,                 2.9803,                 2.6527,                0.29336,                0.15818,                0.10529,                0.03282,                 2.5642,                 3.1687,                  2.964,             0.00093268,             0.00093268,             0.00093268
                     36,                 2.2015,                  2.978,                 2.6427,                0.34503,                0.13029,                0.09396,                0.03099,                 2.5499,                 3.3138,                 2.9219,              0.0009307,              0.0009307,              0.0009307
                     37,                 2.1709,                 2.9219,                  2.612,                0.64492,                0.13544,                0.15737,                0.05031,                 2.4819,                 3.2223,                 2.8939,             0.00092872,             0.00092872,             0.00092872
                     38,                 2.1568,                 2.9032,                 2.6095,                0.49794,                0.14519,                0.17337,                0.06015,                 2.4427,                 3.2182,                 2.8569,             0.00092674,             0.00092674,             0.00092674
                     39,                 2.1523,                 2.8547,                  2.601,                0.39427,                0.17992,                0.14532,                0.04836,                 2.5135,                 3.3239,                  2.942,             0.00092476,             0.00092476,             0.00092476
                     40,                 2.1424,                 2.8608,                  2.602,                0.26523,                0.19589,                0.16421,                0.05694,                 2.4563,                 3.1131,                 2.8556,             0.00092278,             0.00092278,             0.00092278
                     41,                 2.1016,                  2.793,                 2.5556,                0.30484,                0.18552,                0.16945,                0.05998,                 2.3945,                 3.0679,                 2.8495,              0.0009208,              0.0009208,              0.0009208
                     42,                 2.1228,                 2.7831,                 2.5586,                0.24229,                0.20937,                0.18777,                0.06516,                 2.4558,                 3.0097,                 2.8733,             0.00091882,             0.00091882,             0.00091882
                     43,                 2.1133,                 2.7952,                 2.5523,                0.29639,                0.17023,                0.20139,                0.07181,                 2.4336,                 3.1559,                 2.8765,             0.00091684,             0.00091684,             0.00091684
                     44,                 2.0944,                  2.751,                 2.5372,                0.45926,                0.15407,                 0.1751,                0.06374,                 2.4057,                   3.13,                 2.8216,             0.00091486,             0.00091486,             0.00091486
                     45,                  2.076,                 2.7308,                 2.5312,                0.40419,                0.17645,                0.19216,                0.06748,                 2.3846,                 3.0905,                 2.8488,             0.00091288,             0.00091288,             0.00091288
                     46,                 2.0954,                 2.7366,                 2.5526,                0.40243,                0.20135,                0.15515,                0.05238,                 2.4872,                  3.087,                 2.9137,              0.0009109,              0.0009109,              0.0009109
                     47,                 2.0842,                 2.7291,                  2.532,                 0.2426,                0.18062,                 0.1818,                0.06237,                 2.3966,                 3.0236,                 2.8512,             0.00090892,             0.00090892,             0.00090892
                     48,                 2.1081,                 2.7417,                 2.5489,                 0.2267,                0.18157,                0.15123,                0.04951,                 2.4467,                 3.0763,                 2.8697,             0.00090694,             0.00090694,             0.00090694
                     49,                  2.045,                 2.7014,                 2.4938,                0.34696,                0.22072,                0.14441,                   0.05,                 2.3717,                 3.0251,                 2.8284,             0.00090496,             0.00090496,             0.00090496
                     50,                  2.013,                 2.6579,                 2.4768,                0.20162,                0.17784,                0.18472,                0.06359,                 2.4169,                 3.0181,                 2.8466,             0.00090298,             0.00090298,             0.00090298
                     51,                 1.9988,                 2.6064,                 2.4683,                0.27339,                0.21844,                0.18514,                0.06903,                  2.362,                 2.9346,                 2.8159,               0.000901,               0.000901,               0.000901
