                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2274,                 4.4285,                 4.2008,                0.67628,                0.00743,                0.01516,                0.00441,                 4.1173,                 4.5069,                 4.1617,             0.00033122,             0.00033122,             0.00033122
                      2,                 3.7319,                 3.9583,                 3.7908,                0.37569,                0.01711,                0.01092,                0.00256,                 3.9236,                 4.9105,                 4.7664,             0.00066324,             0.00066324,             0.00066324
                      3,                  3.286,                 3.6511,                 3.4003,                0.00897,                0.48527,                0.03357,                0.01233,                 3.3712,                  3.693,                 3.6056,             0.00099394,             0.00099394,             0.00099394
                      4,                 3.1018,                 3.3991,                 3.1904,                0.52778,                0.02676,                0.02762,                0.00637,                 3.2483,                  3.466,                 3.3544,             0.00099406,             0.00099406,             0.00099406
                      5,                 2.9661,                 3.2423,                 3.0196,                0.55608,                0.05671,                 0.0747,                0.02243,                 3.1918,                 3.2087,                 3.2946,             0.00099208,             0.00099208,             0.00099208
                      6,                 2.8321,                 3.1698,                 2.9256,                0.64672,                0.03255,                0.06568,                0.01886,                 3.0868,                 3.2288,                  3.259,              0.0009901,              0.0009901,              0.0009901
                      7,                 2.7342,                 3.0767,                 2.8414,                0.29734,                0.06796,                0.08402,                0.02731,                 2.8954,                 3.1063,                 3.1456,             0.00098812,             0.00098812,             0.00098812
                      8,                 2.6246,                 2.9593,                 2.7691,                 0.1382,                0.11763,                0.08716,                0.02983,                 2.8836,                 3.0227,                 3.0396,             0.00098614,             0.00098614,             0.00098614
                      9,                 2.6128,                 2.8848,                 2.7374,                0.42723,                0.08912,                0.09387,                0.03026,                 2.8374,                  3.089,                 3.1167,             0.00098416,             0.00098416,             0.00098416
                     10,                 2.5123,                 2.8084,                 2.6571,                0.22376,                0.19145,                0.14511,                0.04966,                 2.7171,                  2.804,                 2.9232,             0.00098218,             0.00098218,             0.00098218
                     11,                 2.4367,                 2.7728,                 2.6071,                0.16422,                0.07604,                0.09972,                  0.035,                 2.7011,                 2.9367,                 2.9364,              0.0009802,              0.0009802,              0.0009802
